"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
1,25,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,30,2,1,1,1,2,4,2,2,2,1,2,4,0,1,2020,2,2,1
2,47,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,20,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,58,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,30,4,1,1,1,1,3,2,1,2,1,2,3,4,1,2020,1,2,2
2,33,3,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,2,1,1
2,68,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,61,2,1,2,2,1,0,0,0,0,0,0,0,1,1,2020,2,2,2
1,49,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,44,4,1,1,1,1,3,2,1,2,2,2,1,3,1,2020,1,2,2
2,46,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,31,3,1,1,1,2,3,2,2,2,2,1,4,0,1,2020,1,2,1
